timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712293483784,123,online payments worldline-0,301,Moved Permanently,Thread Group 1-10,,true,,376,182,86,86,http://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,123,0,61
1712293483907,520,online payments worldline-1,200,OK,Thread Group 1-10,text,true,,182906,182,86,86,https://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,422,0,0
1712293478247,6232,worldline,200,OK,Thread Group 1-42,text,true,,225471,230,85,85,https://worldline.com/,16,0,8
1712293478247,16,worldline-0,301,Moved Permanently,Thread Group 1-42,,true,,309,115,85,85,http://worldline.com/,16,0,8
1712293478264,6215,worldline-1,200,OK,Thread Group 1-42,text,true,,225162,115,85,85,https://worldline.com/,1697,0,830
1712293483750,734,online payments worldline,200,OK,Thread Group 1-18,text,true,,183284,364,85,85,https://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,130,0,70
1712293483750,130,online payments worldline-0,301,Moved Permanently,Thread Group 1-18,,true,,376,182,85,85,http://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,130,0,70
1712293483881,603,online payments worldline-1,200,OK,Thread Group 1-18,text,true,,182908,182,85,85,https://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,507,0,0
1712293478563,5924,worldline,200,OK,Thread Group 1-73,text,true,,225478,230,84,84,https://worldline.com/,18,0,7
1712293478563,18,worldline-0,301,Moved Permanently,Thread Group 1-73,,true,,309,115,84,84,http://worldline.com/,18,0,7
1712293478582,5905,worldline-1,200,OK,Thread Group 1-73,text,true,,225169,115,84,84,https://worldline.com/,1419,0,511
1712293478227,6368,worldline,200,OK,Thread Group 1-40,text,true,,225971,230,84,84,https://worldline.com/,14,0,7
1712293478227,14,worldline-0,301,Moved Permanently,Thread Group 1-40,,true,,309,115,84,84,http://worldline.com/,14,0,7
1712293478242,6353,worldline-1,200,OK,Thread Group 1-40,text,true,,225662,115,84,84,https://worldline.com/,1925,0,849
1712293478078,6556,worldline,200,OK,Thread Group 1-25,text,true,,225956,230,84,84,https://worldline.com/,47,0,20
1712293478078,51,worldline-0,301,Moved Permanently,Thread Group 1-25,,true,,309,115,84,84,http://worldline.com/,47,0,20
1712293478135,6499,worldline-1,200,OK,Thread Group 1-25,text,true,,225647,115,84,84,https://worldline.com/,1300,0,955
1712293478148,6566,worldline,200,OK,Thread Group 1-32,text,true,,225972,230,84,84,https://worldline.com/,13,0,6
1712293478148,13,worldline-0,301,Moved Permanently,Thread Group 1-32,,true,,309,115,84,84,http://worldline.com/,13,0,6
1712293478161,6553,worldline-1,200,OK,Thread Group 1-32,text,true,,225663,115,84,84,https://worldline.com/,1823,0,930
1712293478448,6388,worldline,200,OK,Thread Group 1-62,text,true,,225688,230,84,84,https://worldline.com/,12,0,5
1712293478448,12,worldline-0,301,Moved Permanently,Thread Group 1-62,,true,,309,115,84,84,http://worldline.com/,12,0,5
1712293478461,6375,worldline-1,200,OK,Thread Group 1-62,text,true,,225379,115,84,84,https://worldline.com/,1673,0,631
1712293482580,2271,online payments worldline,200,OK,Thread Group 1-93,text,true,,183275,364,84,84,https://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,176,0,88
1712293482580,176,online payments worldline-0,301,Moved Permanently,Thread Group 1-93,,true,,376,182,84,84,http://worldline.com/en-in/home/main-navigation/solutions/merchants/online-payments.html,176,0,88
